size,sequential(ns),parallel(ns),distributed(ns)
500,66767933,16293600,95500400
1000,421210866,98146766,326435200
1500,2922233400,467816366,920569466
2000,2885683766,586842433,1137497500
2500,16702453166,2646519233,3484885433
3000,20232547866,3274767900,4504912533
3500,46714831000,15040468666,11460707733
4000,19992571333,4097730500,6402700866
4500,102467919200,33700371133,36926169266
5000,118455299966,22698870333,24737463100
5500,210623064833,87523583333,98724987500
6000,141506773733,24135736666,32574891900
512,11818401400,1965187166,2938806733
1024,82356027600,14209482633,21516643766
2048,592981352866,102064493833,139413014000
